id;nom;nombre_representants;nombre_suppleants;creation_date;last_modification_date;partage_representants;uid;nature_juridique_id;secteur_id
1;Small Plastic Hat;42166;76540;2019-01-08T23:55:16;2019-01-09T10:16:22;true;4fb54910-538a-40b1-9fb9-05430cfe6b0c;1;1
2;Honduras Frozen National;197;26915;2019-01-09T08:52:11;2019-01-08T22:55:44;true;181092f5-cfe3-49db-ae63-88be5244e7a6;2;2
3;asymmetric Trail plum;54975;36431;2019-01-08T23:07:14;2019-01-08T17:10:40;true;f12cecc4-0077-41bd-8cdd-e24bbc5bf9cd;3;3
4;Papua New Guinea Nebraska;62581;91993;2019-01-09T12:23:37;2019-01-09T02:02:45;true;00eeae81-0e6a-45bd-902d-6aec9764d520;4;4
5;approach;54351;12494;2019-01-09T02:20:00;2019-01-08T23:02:33;false;20ae63df-262d-4b57-b767-e15aa7a15a57;5;5
6;plug-and-play Cordoba Oro;65775;79648;2019-01-09T00:04:18;2019-01-09T10:26:47;true;42aa945d-30c2-49ba-a547-bbfccca592a4;6;6
7;Shoes solid state;81605;59698;2019-01-09T10:43:06;2019-01-09T10:09:11;false;37a22667-13da-48e7-b665-d99d991098a7;7;7
8;Tuna RSS;7853;9954;2019-01-09T07:41:37;2019-01-09T02:53:09;true;08be5cc4-2acf-45d6-8205-3ee32c240a06;8;8
9;Computers;55176;25156;2019-01-09T06:43:20;2019-01-08T21:23:23;true;37a5ace3-9e72-4378-9c8c-32a60ec88a07;9;9
10;Manager quantifying Bedfordshire;8299;1941;2019-01-09T06:24:01;2019-01-09T12:47:41;false;54c0b470-5c0c-47cb-b4c2-ec2da167b1c7;10;10
